Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3549250;Interior;São João de Iracema;178;7;;;
3549300;Interior;São João do Pau d'Alho;192;1;;;
3549409;Interior;São Joaquim da Barra;6704;163;;;
3549508;Interior;São José da Bela Vista;320;18;;;
3549607;Interior;São José do Barreiro;303;4;;;
3549706;Interior;São José do Rio Pardo;3908;146;;;
3549805;Interior;São José do Rio Preto;95364;2797;;;
3549904;Interior;São José dos Campos;92237;1937;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;688;38;;;
3550001;Interior;São Luiz do Paraitinga;946;27;;;
3550100;Interior;São Manuel;5642;152;;;
3550209;Interior;São Miguel Arcanjo;2099;72;;;
3550308;Capital;São Paulo;965396;38472;;;
3550407;Interior;São Pedro;5775;105;;;
3550506;Interior;São Pedro do Turvo;974;13;;;
3550605;Interior;São Roque;6987;102;;;
3550704;Interior;São Sebastião;8136;171;;;
3550803;Interior;São Sebastião da Grama;1175;33;;;
3550902;Interior;São Simão;1073;28;;;
3551009;Interior;São Vicente;19130;1294;;;
3551108;Interior;Sarapuí;515;6;;;
3551207;Interior;Sarutaiá;128;20;;;
3551306;Interior;Sebastianópolis do Sul;233;7;;;
3551405;Interior;Serra Azul;1373;15;;;
3551504;Interior;Serrana;4776;105;;;
3551603;Interior;Serra Negra;3021;72;;;
3551702;Interior;Sertãozinho;20113;497;;;
3551801;Interior;Sete Barras;1921;42;;;
3551900;Interior;Severínia;2281;71;;;
3552007;Interior;Silveiras;553;6;;;
3552106;Interior;Socorro;4386;73;;;
3552205;Interior;Sorocaba;77131;2824;;;
3552304;Interior;Sud Mennucci;949;16;;;
3552403;Interior;Sumaré;28132;850;;;
3552502;RMSP (exceto capital);Suzano;23479;955;;;
